Model name,LLM,Classification,Matched Keywords
Jamba 1.5 Large,AI21 Labs,Domain-Specific,
Jamba 1.5 Mini,AI21 Labs,Domain-Specific,
Nova Canvas,Amazon,Task-Specific,canvas
Nova Lite,Amazon,Domain-Specific,
Nova Micro,Amazon,Domain-Specific,
Nova Premier,Amazon,Domain-Specific,
Nova Pro,Amazon,Domain-Specific,
Nova Reel,Amazon,Task-Specific,reel
Nova Reel,Amazon,Task-Specific,reel
Nova Sonic,Amazon,Domain-Specific,
Rerank 1.0,Amazon,Task-Specific,rerank
Titan Embeddings G1 - Text,Amazon,Task-Specific,"embed, embedding"
Titan Image Generator G1 v2,Amazon,Task-Specific,image
Titan Image Generator G1,Amazon,Task-Specific,image
Titan Multimodal Embeddings G1,Amazon,Task-Specific,"embed, embedding"
Titan Text Embeddings V2,Amazon,Task-Specific,"embed, embedding"
Titan Text G1 - Express,Amazon,Domain-Specific,
Titan Text G1 - Lite,Amazon,Domain-Specific,
Titan Text G1 - Premier,Amazon,Domain-Specific,
Claude 3 Haiku,Anthropic,Domain-Specific,
Claude 3 Opus,Anthropic,Domain-Specific,
Claude 3 Sonnet,Anthropic,Domain-Specific,
Claude 3.5 Haiku,Anthropic,Domain-Specific,
Claude 3.5 Sonnet v2,Anthropic,Domain-Specific,
Claude 3.5 Sonnet,Anthropic,Domain-Specific,
Claude 3.7 Sonnet,Anthropic,Domain-Specific,
Claude Opus 4,Anthropic,Domain-Specific,
Claude Sonnet 4,Anthropic,Domain-Specific,
Command Light,Cohere,Domain-Specific,
Command R+,Cohere,Domain-Specific,
Command R,Cohere,Domain-Specific,
Command,Cohere,Domain-Specific,
Embed English,Cohere,Task-Specific,embed
Embed Multilingual,Cohere,Task-Specific,embed
Rerank 3.5,Cohere,Task-Specific,rerank
DeepSeek-R1,DeepSeek,Domain-Specific,
Ray v2,Luma AI,Domain-Specific,
Llama 3 8B Instruct,Meta,Domain-Specific,
Llama 3 70B Instruct,Meta,Domain-Specific,
Llama 3.1 8B Instruct,Meta,Domain-Specific,
Llama 3.1 70B Instruct,Meta,Domain-Specific,
Llama 3.1 405B Instruct,Meta,Domain-Specific,
Llama 3.2 1B Instruct,Meta,Domain-Specific,
Llama 3.2 3B Instruct,Meta,Domain-Specific,
Llama 3.2 11B Instruct,Meta,Domain-Specific,
Llama 3.2 90B Instruct,Meta,Domain-Specific,
Llama 3.3 70B Instruct,Meta,Domain-Specific,
Llama 4 Maverick 17B Instruct,Meta,Domain-Specific,
Llama 4 Scout 17B Instruct,Meta,Domain-Specific,
Mistral 7B Instruct,Mistral AI,General-Purpose,instruct
Mistral Large (24.02),Mistral AI,Domain-Specific,
Mistral Large (24.07),Mistral AI,Domain-Specific,
Mistral Small (24.02),Mistral AI,Domain-Specific,
Mixtral 8x7B Instruct,Mistral AI,General-Purpose,instruct
Pixtral Large (25.02),Mistral AI,Domain-Specific,
Stable Diffusion 3.5 Large,Stability AI,Task-Specific,diffusion
Stable Image Core 1.0,Stability AI,Task-Specific,image
Stable Image Ultra 1.0,Stability AI,Task-Specific,image
Palmyra X4,Writer,Domain-Specific,
Palmyra X5,Writer,Domain-Specific,
Jamba-Instruct,AI21 Labs,Domain-Specific,
Claude 2.1,Anthropic,Domain-Specific,
Claude 2,Anthropic,Domain-Specific,
Claude Instant,Anthropic,Domain-Specific,
Claude Instant,Anthropic,Domain-Specific,
Claude,Anthropic,Domain-Specific,
SD3 Large 1.0,Stability AI,Domain-Specific,
SDXL 1.0,Stability AI,Domain-Specific,
Stable Image Core 1.0,Stability AI,Task-Specific,image
Stable Image Ultra 1.0,Stability AI,Task-Specific,image
