model_name,vendor_name,formation_year,age_years,category,status,vendor_maturity,contextwindow_Context window tokens,contextwindow_Category,contextwindow_Source,contextwindow_Notes,latency_support_type,modality_Input modalities,modality_Output modalities,modelspecificity_LLM,modelspecificity_Classification,modelspecificity_Matched Keywords,sourcetype_Source type
Claude 3.7 Sonnet,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3-5,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude 3.5 Sonnet,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3-5,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude 3.5 Sonnet v2,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3-5,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude 3.5 Haiku,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3-5,"Anthropic official docs, June 2024",,Text,"Text, Chat",Anthropic,Domain-Specific,,closed
Claude 3 Haiku,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude 3 Opus,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude 3 Sonnet,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude Opus 4,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude Sonnet 4,Anthropic,2021,3,AI Research,Active,emerging,200000,large,https://www.anthropic.com/news/claude-3,"Anthropic official docs, June 2024",,"Text, Image","Text, Chat",Anthropic,Domain-Specific,,closed
Claude 2.1,Anthropic,2021,3,AI Research,Active,emerging,100000,large,https://www.anthropic.com/news/claude-2,"Anthropic official docs, June 2024",,Text,"Text, Chat",Anthropic,Domain-Specific,,closed
Claude 2,Anthropic,2021,3,AI Research,Active,emerging,100000,large,https://www.anthropic.com/news/claude-2,"Anthropic official docs, June 2024",,Text,"Text, Chat",Anthropic,Domain-Specific,,closed
Claude Instant,Anthropic,2021,3,AI Research,Active,emerging,100000,large,https://www.anthropic.com/news/claude-2,"Anthropic official docs, June 2024",,Text,"Text, Chat",Anthropic,Domain-Specific,,closed
Claude,Anthropic,2021,3,AI Research,Active,emerging,100000,large,https://www.anthropic.com/news/claude-2,"Anthropic official docs, June 2024",,Text,"Text, Chat",Anthropic,Domain-Specific,,closed
Llama 3.1 405B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3 8B Instruct,Meta,2004,20,Technology,Active,mature,8192,unknown,https://ai.meta.com/llama/,"Meta official docs, June 2024",,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3 70B Instruct,Meta,2004,20,Technology,Active,mature,8192,unknown,https://ai.meta.com/llama/,"Meta official docs, June 2024",,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3.1 8B Instruct,Meta,2004,20,Technology,Active,mature,8192,unknown,https://ai.meta.com/llama/,"Meta official docs, June 2024",,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3.1 70B Instruct,Meta,2004,20,Technology,Active,mature,8192,unknown,https://ai.meta.com/llama/,"Meta official docs, June 2024",,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3.2 1B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3.2 3B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 3.2 11B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image","Text, Chat",Meta,Domain-Specific,,open
Llama 3.2 90B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image","Text, Chat",Meta,Domain-Specific,,open
Llama 3.3 70B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",Meta,Domain-Specific,,open
Llama 4 Maverick 17B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image","Text, Chat",Meta,Domain-Specific,,open
Llama 4 Scout 17B Instruct,Meta,2004,20,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image","Text, Chat",Meta,Domain-Specific,,open
Mistral 7B Instruct,Mistral,2023,1,AI Research,Active,emerging,32000,unknown,https://docs.mistral.ai/models/,"Mistral official docs, June 2024",,Text,Text,Mistral AI,General-Purpose,instruct,unknown
Mistral Large (24.02),Mistral,2023,1,AI Research,Active,emerging,32000,unknown,https://docs.mistral.ai/models/,"Mistral official docs, June 2024",,Text,Text,Mistral AI,Domain-Specific,,unknown
Mistral Large (24.07),Mistral,2023,1,AI Research,Active,emerging,32000,unknown,https://docs.mistral.ai/models/,"Mistral official docs, June 2024",,Text,Text,Mistral AI,Domain-Specific,,unknown
Mistral Small (24.02),Mistral,2023,1,AI Research,Active,emerging,32000,unknown,https://docs.mistral.ai/models/,"Mistral official docs, June 2024",,Text,Text,Mistral AI,Domain-Specific,,unknown
Mixtral 8x7B Instruct,Mistral,2023,1,AI Research,Active,emerging,32000,unknown,https://docs.mistral.ai/models/,"Mistral official docs, June 2024",,Text,Text,Mistral AI,General-Purpose,instruct,unknown
Pixtral Large (25.02),Mistral,2023,1,AI Research,Active,emerging,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image",Text,Mistral AI,Domain-Specific,,unknown
Command Light,Cohere,2019,5,AI Research,Active,established,128000,large,https://docs.cohere.com/docs/models,"Cohere official docs, June 2024",,Text,Text,Cohere,Domain-Specific,,closed
Command R+,Cohere,2019,5,AI Research,Active,established,128000,large,https://docs.cohere.com/docs/models,"Cohere official docs, June 2024",,Text,"Text, Chat",Cohere,Domain-Specific,,closed
Command R,Cohere,2019,5,AI Research,Active,established,128000,large,https://docs.cohere.com/docs/models,"Cohere official docs, June 2024",,Text,"Text, Chat",Cohere,Domain-Specific,,closed
Command,Cohere,2019,5,AI Research,Active,established,128000,large,https://docs.cohere.com/docs/models,"Cohere official docs, June 2024",,Text,Text,Cohere,Domain-Specific,,closed
Embed English,Cohere,2019,5,AI Research,Active,established,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Embedding,Cohere,Task-Specific,embed,closed
Embed Multilingual,Cohere,2019,5,AI Research,Active,established,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Embedding,Cohere,Task-Specific,embed,closed
Rerank 3.5,Cohere,2019,5,AI Research,Active,established,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Text,Cohere,Task-Specific,rerank,closed
Stable Diffusion 3.5 Large,Stability,2020,4,AI Research,Active,emerging,,unknown,Image model - not applicable,Image model - context window not applicable,,"Text, Image",Image,Stability AI,Task-Specific,diffusion,open
Stable Image Core 1.0,Stability,2020,4,AI Research,Active,emerging,,unknown,Image model - not applicable,Image model - context window not applicable,,Text,Image,Stability AI,Task-Specific,image,open
Stable Image Ultra 1.0,Stability,2020,4,AI Research,Active,emerging,,unknown,Image model - not applicable,Image model - context window not applicable,,Text,Image,Stability AI,Task-Specific,image,open
SD3 Large 1.0,Stability,2020,4,AI Research,Active,emerging,,unknown,Image model - not applicable,Image model - context window not applicable,,"Text, Image",Image,Stability AI,Domain-Specific,,open
SDXL 1.0,Stability,2020,4,AI Research,Active,emerging,,unknown,Image model - not applicable,Image model - context window not applicable,,"Text, Image",Image,Stability AI,Domain-Specific,,open
Palmyra X4,Writer,2020,4,AI Research,Active,emerging,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Text,Writer,Domain-Specific,,unknown
Palmyra X5,Writer,2020,4,AI Research,Active,emerging,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Text,Writer,Domain-Specific,,unknown
Jamba 1.5 Large,AI21,2017,7,AI Research,Active,established,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",AI21 Labs,Domain-Specific,,closed
Jamba 1.5 Mini,AI21,2017,7,AI Research,Active,established,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",AI21 Labs,Domain-Specific,,closed
Jamba-Instruct,AI21,2017,7,AI Research,Active,established,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,"Text, Chat",AI21 Labs,Domain-Specific,,closed
